ControlId,Title,Category,Severity,Status,OriginalStatus,Expected,Actual,Message,ExceptionId,ExceptionOwner,ExceptionExpiry,Remediation,References
HL-ACC-001,Built-in Guest account is disabled,Identity,High,Pass,,Disabled,Disabled,The effective state matches the selected baseline.,,,,"Disable the built-in Guest account through Group Policy, Intune, or local security policy and verify that no application depends on it.",https://learn.microsoft.com/windows/security/operating-system-security/device-management/windows-security-configuration-framework/windows-security-baselines
HL-UAC-001,User Account Control is enabled,Privilege Management,Critical,Pass,,1,1,The effective state matches the selected baseline.,,,,"Set ""User Account Control: Run all administrators in Admin Approval Mode"" to Enabled and restart the device.",https://learn.microsoft.com/windows/security/application-security/application-control/user-account-control/settings-and-configuration
HL-UAC-002,Administrator elevation prompts require consent,Privilege Management,High,Pass,,"[1,2,3,4,5]","[1,2,3,4,5]",The effective state matches the selected baseline.,,,,"Configure the administrator elevation prompt to ""Prompt for consent for non-Windows binaries"" or a stricter credential prompt.",https://learn.microsoft.com/windows/security/application-security/application-control/user-account-control/settings-and-configuration
HL-UAC-003,Built-in Administrator uses Admin Approval Mode,Privilege Management,Medium,Fail,,1,0,The built-in Administrator account is not running in Admin Approval Mode.,,,,"Set ""User Account Control: Admin Approval Mode for the Built-in Administrator account"" to Enabled.",https://learn.microsoft.com/windows/security/application-security/application-control/user-account-control/settings-and-configuration
HL-LSA-001,LSA protection is enabled,Credential Protection,High,Pass,,"[1,2]","[1,2]",The effective state matches the selected baseline.,,,,"Enable ""Configure LSASS to run as a protected process"" in policy. Test authentication and security software compatibility before broad enforcement.",https://learn.microsoft.com/windows-server/security/credentials-protection-and-management/configuring-additional-lsa-protection
HL-CRED-001,WDigest credential caching is disabled,Credential Protection,High,Pass,,0,0,The effective state matches the selected baseline.,,,,Set UseLogonCredential to 0 under the WDigest security provider policy. A missing value is treated as the secure modern default.,https://learn.microsoft.com/windows/security/operating-system-security/device-management/windows-security-configuration-framework/windows-security-baselines
HL-CRED-002,Credential Guard is running,Credential Protection,High,Unknown,,Credential Guard running,<not set>,The Device Guard WMI provider did not return Credential Guard state.,,,,"Enable virtualization-based security and Credential Guard with the deployment mode appropriate for the device. Validate VPN, Wi-Fi, delegation, and legacy authentication dependencies first.",https://learn.microsoft.com/windows/security/identity-protection/credential-guard/configure
HL-LAPS-001,Windows LAPS password backup is configured,Credential Protection,High,Pass,,Microsoft Entra ID or Active Directory,Microsoft Entra ID or Active Directory,The effective state matches the selected baseline.,,,,Configure Windows LAPS BackupDirectory through Intune CSP or Group Policy and validate permissions to retrieve passwords.,https://learn.microsoft.com/windows-server/identity/laps/laps-management-policy-settings
HL-LAPS-002,Windows LAPS password age is 30 days or less,Credential Protection,Medium,Pass,,<= 30 days,<= 30 days,The effective state matches the selected baseline.,,,,"Configure PasswordAgeDays to 30 or fewer days, balancing rotation with operational recovery requirements.",https://learn.microsoft.com/windows-server/identity/laps/laps-management-policy-settings
HL-LAPS-003,Windows LAPS AD password encryption is enabled,Credential Protection,High,Fail,,Enabled,Disabled,"Windows LAPS is backed up to Active Directory, but password encryption is disabled.",,,,Enable ADPasswordEncryptionEnabled for Active Directory-backed Windows LAPS after confirming the domain functional level and authorized decryptors.,https://learn.microsoft.com/windows-server/identity/laps/laps-management-policy-settings
